contrast,question,case,variant,mode,candidate_configuration,baseline_configuration,metric,metric_label,preferred_direction,candidate_feasible_runs,baseline_feasible_runs,candidate_mean_feasible_only,baseline_mean_feasible_only,raw_candidate_minus_baseline,raw_difference_ci95_low,raw_difference_ci95_high,benefit_aligned_difference
llm_trigger_contribution,What changes when the LLM Trigger is replaced by the frozen rule parser?,aw_route6_late_return,uncertain_chat,selfish,full_agentic,rule_parser_trigger_substitution,downward_flexibility_cheap_buy_kwh,Cheap-period charging (downward flexibility delivered),higher,5,5,1999.9999999999886,1959.9999999999934,39.999999999995225,-7.048583938740194e-12,119.99999999999295,39.999999999995225
llm_trigger_contribution,What changes when the LLM Trigger is replaced by the frozen rule parser?,aw_route6_late_return,uncertain_chat,selfish,full_agentic,rule_parser_trigger_substitution,upward_flexibility_expensive_sell_kwh,Expensive-period V2G export (upward flexibility delivered),higher,5,5,399.9999999999887,358.1423999999932,41.8575999999955,0.0,122.78315999999325,41.8575999999955
llm_trigger_contribution,What changes when the LLM Trigger is replaced by the frozen rule parser?,aw_route6_late_return,uncertain_chat,selfish,full_agentic,rule_parser_trigger_substitution,price_aligned_flexibility_kwh,Cheap charging plus expensive V2G export,higher,5,5,2399.9999999999773,2318.142399999986,81.85759999999118,0.0,243.7130399999819,81.85759999999118
llm_trigger_contribution,What changes when the LLM Trigger is replaced by the frozen rule parser?,aw_route6_late_return,uncertain_chat,selfish,full_agentic,rule_parser_trigger_substitution,cheap_period_buy_share,Share of charging completed in cheap-price intervals,higher,5,5,1.0,1.0,0.0,0.0,0.0,0.0
llm_trigger_contribution,What changes when the LLM Trigger is replaced by the frozen rule parser?,aw_route6_late_return,uncertain_chat,selfish,full_agentic,rule_parser_trigger_substitution,expensive_period_sell_share,Share of V2G export completed in expensive-price intervals,higher,5,5,1.0,1.0,0.0,0.0,0.0,0.0
llm_trigger_contribution,What changes when the LLM Trigger is replaced by the frozen rule parser?,aw_route6_late_return,uncertain_chat,selfish,full_agentic,rule_parser_trigger_substitution,energy_weighted_average_buy_grid_price,Energy-weighted grid price when charging,lower,5,5,0.08118012534059944,0.081153953254617,2.6172085982448245e-05,-4.659073569482364e-05,0.00012510699364214062,-2.6172085982448245e-05
llm_trigger_contribution,What changes when the LLM Trigger is replaced by the frozen rule parser?,aw_route6_late_return,uncertain_chat,selfish,full_agentic,rule_parser_trigger_substitution,energy_weighted_average_sell_grid_price,Energy-weighted grid price when exporting,higher,5,5,0.11907164850136234,0.11975386610451455,-0.0006822176031522076,-0.0014425819647699845,0.0,-0.0006822176031522076
llm_trigger_contribution,What changes when the LLM Trigger is replaced by the frozen rule parser?,aw_route6_late_return,uncertain_chat,selfish,full_agentic,rule_parser_trigger_substitution,peak_net_import_kwh_per_interval,Maximum realized net import in one 30-minute interval,lower,5,5,800.0,800.0,0.0,0.0,0.0,-0.0
llm_pricing_contribution,What changes when LLM pricing is replaced by the deterministic price-zone heuristic?,aw_route6_late_return,uncertain_chat,selfish,full_agentic,deterministic_pricing_substitution,downward_flexibility_cheap_buy_kwh,Cheap-period charging (downward flexibility delivered),higher,5,5,1999.9999999999886,1800.0,199.99999999998863,199.99999999998863,199.99999999998863,199.99999999998863
llm_pricing_contribution,What changes when LLM pricing is replaced by the deterministic price-zone heuristic?,aw_route6_late_return,uncertain_chat,selfish,full_agentic,deterministic_pricing_substitution,upward_flexibility_expensive_sell_kwh,Expensive-period V2G export (upward flexibility delivered),higher,5,5,399.9999999999887,195.1886,204.81139999998868,204.81139999998868,204.81139999998868,204.81139999998868
